1INCH/USD	3.8587
AAPL/USD	1.6174000000000002
AAVE/USD	2.7645
ABNB/USD	4.9385
ACB/USD	0.7078000000000001
AGLD/USD	0.25865
AKRO/USD	0.03144
ALCX/USD	0.38460000000000005
ALEPH/USD	0.6016
ALICE/USD	1.8572500000000003
ALPHA/USD	0.9535
AMC/USD	4.111
AMD/USD	1.5611000000000002
AMPL/USD	0.8608
AMZN/USD	3.677
APHA/USD	0.9217000000000001
ARKK/USD	1.1396
ASD/USD	0.044933
ATLAS/USD	1.5846
AUDIO/USD	2.195
AURY/USD	15.04375
AXS/USD	12.8643
BABA/USD	0.7015000000000001
BADGER/USD	0.27530000000000004
BAL/USD	0.21025
BAND/USD	0.7737
BAO/USD	0.47875
BAR/USD	1.3222500000000001
BAT/USD	1.11925
BB/USD	1.0497500000000002
BCH/USD	0.5795750000000001
BILI/USD	3.3662500000000004
BIT/USD	2.566
BITO/USD	0.37405
BITW/USD	0.47365
BLT/USD	2.7606
BNB/USD	5.8240300000000005
BNT/USD	0.40655
BNTX/USD	2.9087
BOBA/USD	0.4098
BRZ/USD	0.17647
BTC/USD	5.8611
BYND/USD	0.7795000000000001
C98/USD	3.28
CAD/USD	0.7913
CEL/USD	0.40800000000000003
CGC/USD	1.2160000000000002
CHR/USD	1.4009
CHZ/USD	4.71839
CITY/USD	1.3455000000000001
CLV/USD	0.11399999999999999
COIN/USD	3.338225
COMP/USD	0.03135
CONV/USD	0.30179999999999996
COPE/USD	1.9365
CQT/USD	0.9432
CREAM/USD	0.5175
CRO/USD	5.53025
CRON/USD	0.4909
CRV/USD	4.005
CVC/USD	0.5045
DAI/USD	0.10003000000000001
DAWN/USD	0.33105000000000007
DENT/USD	0.601
DKNG/USD	0.36095
DMG/USD	0.0051
DODO/USD	0.1383
DOGE/USD	0.2332205
DYDX/USD	1.3988
EDEN/USD	0.23055
EMB/USD	1.5691
ENJ/USD	3.75
ENS/USD	0.47204999999999997
ETH/USD	4.2909
ETHE/USD	4.2268
EUR/USD	1.1289
FB/USD	3.468
FIDA/USD	8.38033
FRONT/USD	0.93
FTM/USD	2.22885
FTT/USD	5.2967
GAL/USD	0.7701
GALA/USD	3.09075
GBP/USD	1.3444
GBTC/USD	0.47380000000000005
GDX/USD	0.33744999999999997
GDXJ/USD	0.4606
GENE/USD	2.2324
GLD/USD	1.7255000000000003
GLXY/USD	2.899
GME/USD	2.29975
GODS/USD	0.49455000000000005
GOOGL/USD	2.992
GRT/USD	0.95455
GT/USD	0.6522000000000001
HGET/USD	0.24350000000000002
HMT/USD	0.9437
HNT/USD	4.5876600000000005
HOLY/USD	26.3997
HOOD/USD	0.30195
HT/USD	0.98445
HUM/USD	4.885
HXRO/USD	0.483
IMX/USD	0.7515000000000001
INTER/USD	0.8151999999999999
JET/USD	0.4659
JST/USD	0.78915
KIN/USD	0.841
KNC/USD	0.17238
KSHIB/USD	0.4949
LEO/USD	3.1852
LINA/USD	0.5224
LINK/USD	2.8233
LRC/USD	2.72295
LTC/USD	2.21755
LUA/USD	0.013025000000000002
MANA/USD	4.0584
MAPS/USD	0.7644
MATH/USD	0.09000000000000001
MATIC/USD	16.16444
MCB/USD	0.30010000000000003
MEDIA/USD	0.444
MER/USD	0.3316
MKR/USD	2.9725
MNGO/USD	3.3027499999999996
MOB/USD	6.06425
MRNA/USD	1.31825
MSOL/USD	2.17275
MSTR/USD	3.6575
MTA/USD	1.2775
MTL/USD	0.3074
NFLX/USD	6.7879
NIO/USD	0.19875
NOK/USD	0.5838
NVDA/USD	0.8320000000000001
OKB/USD	2.50555
OMG/USD	5.00925
ORBS/USD	1.18925
OXY/USD	2.0295
PAXG/USD	0.18441
PENN/USD	0.5231
PFE/USD	0.5112
POLIS/USD	0.7307525
PORT/USD	0.41295000000000004
PROM/USD	0.16985
PSG/USD	2.0045
PUNDIX/USD	0.14455
PYPL/USD	0.973625
RAMP/USD	0.3038
RAY/USD	10.2302
REEF/USD	0.2801
REN/USD	0.8235
ROOK/USD	0.16055000000000003
RSR/USD	0.35835
RUNE/USD	11.3495
SAND/USD	4.17725
SECO/USD	25.5302
SHIB/USD	4.952
SKL/USD	0.3234
SLND/USD	0.6767000000000001
SLP/USD	0.6515
SLRS/USD	0.57781
SLV/USD	2.2785
SNX/USD	0.8733000000000001
SNY/USD	3.9569
SOL/USD	2.13275
SPELL/USD	1.7377500000000001
SPY/USD	0.47011000000000003
SQ/USD	1.1320000000000001
SRM/USD	5.96
STARS/USD	8.50065
STEP/USD	0.07225000000000001
STETH/USD	0.4267
STMX/USD	0.30405000000000004
STORJ/USD	0.22080000000000002
STSOL/USD	2.164
SUN/USD	3.35e-05
SUSHI/USD	4.4762
SXP/USD	0.2459
TLM/USD	0.3027
TLRY/USD	1.0867000000000002
TOMO/USD	0.31733500000000003
TONCOIN/USD	0.38175000000000003
TRU/USD	0.459275
TRX/USD	0.10426
TRYB/USD	0.008956
TSLA/USD	11.450000000000001
TSM/USD	0.624
TULIP/USD	3.04625
TWTR/USD	2.43725
UBER/USD	2.2135000000000002
UBXT/USD	0.03002
UNI/USD	2.106
USO/USD	0.5382
VGX/USD	3.77875
WAVES/USD	10.976
WBTC/USD	5.8622000000000005
WRX/USD	1.30411
XAUT/USD	0.18601
XRP/USD	1.088525
YFI/USD	31.900000000000002
YFII/USD	3.891
ZM/USD	2.5052000000000003
ZRX/USD	1.15325
BVOL/USD	0.057875
IBVOL/USD	0.032600000000000004
